Origin 3-Digit,Dest 3-Digit,Origin Zip,Dest Zip,Lane Volume,Warp Rate,Cheapest Non-Warp Rate,Cheapest Non-Warp Carrier
750,802,75041,80214,459,$256.47,$213.18,Forward
760,331,76015,33182,459,$245.64,$393.24,Forward Air
604,553,60484,55369,458,$280.49,$141.52,TAX AIRFREIGHT
923,750,92345,75006,456,$448.59,$372.16,XPO Logistics
604,330,60446,33018,456,$253.61,$408.85,Forward
926,980,92649,98055,455,$263.71,$422.8,Forward Air
906,928,90670,92806,454,$132.15,$125.52,GlovaLink
906,984,90660,98499,454,$260.36,$444.54,STG LTL formerly Frontline Freight
900,761,90058,76119,453,$402.39,$389.52,Mountain Valley Express
553,601,55336,60101,453,$266.7,$165.11,Forward Air
917,410,91761,41048,450,$358.64,$370.66,XPO Logistics
462,462,46268,46268,448,$130.64,$158.34,XPO Logistics
286,331,28655,33178,448,$267,$234.65,AAA COOPER TRANSPORTATION
906,752,90670,75234,445,$394.89,$363.24,XPO Logistics
928,945,92841,94568,444,$269.25,$260.57,Mountain Valley Express
